

---------------------------------------------------------------------------------------------------
------------------------------------      SPLIT [4]   -----------------------------------------------
---------------------------------------------------------------------------------------------------
unique_name: 10_ngccphat-6delays-tdoa-pretrained_dev_split0_multiaccdoa_mic_gcc

Loading training dataset:
Loading validation dataset:
Running in finetuning mode. Initializing the model to the weights - models_audio/9_ngccphat-6delays-tdoa_dev_split0_multiaccdoa_mic_gcc_model_final.h5
---------------- SELD-net -------------------
FEATURES:
	data_in: (64, 4, 250, 480)
	data_out: (64, 50, 156)

MODEL:
	dropout_rate: 0.05
	CNN: nb_cnn_filt: 64, f_pool_size[4, 4, 2], t_pool_size[5, 1, 1]
, rnn_size: 128
, nb_attention_blocks: 2
, fnn_size: 128

Dumping recording-wise val results in: results_audio/10_ngccphat-6delays-tdoa-pretrained_dev_split0_multiaccdoa_mic_gcc_20240503085735_val
epoch: 0, time: 47.28/177.32, train_loss: 0.1106, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 1, time: 43.30/177.32, train_loss: 0.1024, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 2, time: 43.32/177.32, train_loss: 0.1001, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 3, time: 43.23/177.32, train_loss: 0.0960, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 4, time: 43.28/177.32, train_loss: 0.0923, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 5, time: 43.34/177.32, train_loss: 0.0895, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 6, time: 43.39/177.32, train_loss: 0.0886, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 7, time: 43.26/177.32, train_loss: 0.0902, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 8, time: 43.18/177.32, train_loss: 0.0919, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 9, time: 43.26/177.32, train_loss: 0.0887, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 10, time: 43.27/177.32, train_loss: 0.0903, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 11, time: 43.33/177.32, train_loss: 0.0851, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 12, time: 43.38/177.32, train_loss: 0.0853, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 13, time: 43.38/177.32, train_loss: 0.0845, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 14, time: 43.32/177.32, train_loss: 0.0823, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 15, time: 43.34/177.32, train_loss: 0.0841, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 16, time: 43.22/177.32, train_loss: 0.0824, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 17, time: 43.26/177.32, train_loss: 0.0825, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 18, time: 43.33/177.32, train_loss: 0.0822, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 19, time: 43.21/177.32, train_loss: 0.0833, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 20, time: 43.25/177.32, train_loss: 0.0835, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 21, time: 43.22/177.32, train_loss: 0.0791, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 22, time: 43.24/177.32, train_loss: 0.0787, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 23, time: 43.33/177.32, train_loss: 0.0789, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 24, time: 43.22/177.32, train_loss: 0.0766, val_loss: 0.0376, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 0 (0.00/nan/nan/nan/nan)
epoch: 25, time: 43.28/176.32, train_loss: 0.0819, val_loss: 0.0585, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 25 (0.00/nan/nan/nan/nan)
epoch: 26, time: 43.34/176.32, train_loss: 0.0793, val_loss: 0.0585, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 25 (0.00/nan/nan/nan/nan)
epoch: 27, time: 43.26/176.32, train_loss: 0.0730, val_loss: 0.0585, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 25 (0.00/nan/nan/nan/nan)
epoch: 28, time: 43.22/176.32, train_loss: 0.0745, val_loss: 0.0585, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 25 (0.00/nan/nan/nan/nan)
epoch: 29, time: 43.20/176.32, train_loss: 0.0689, val_loss: 0.0585, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/nan/nan/nan/nan, best_val_epoch: 25 (0.00/nan/nan/nan/nan)
