

---------------------------------------------------------------------------------------------------
------------------------------------      SPLIT [4]   -----------------------------------------------
---------------------------------------------------------------------------------------------------
unique_name: 333_cst-sim-aug-rare-ngcc-pretrained-mel-300_dev_split0_multiaccdoa_mic_gcc

Loading training dataset:
Loading validation dataset:
Running in finetuning mode. Initializing the model to the weights - models_audio/9_ngccphat-6delays-tdoa_dev_split0_multiaccdoa_mic_gcc_model_final.h5
---------------- SELD-net -------------------
FEATURES:
	data_in: (64, 4, 250, 480)
	data_out: (64, 50, 156)

MODEL:
	dropout_rate: 0.05
	CNN: nb_cnn_filt: 64, f_pool_size[1, 2, 2], t_pool_size[1, 1, 5]
, rnn_size: 128
, nb_attention_blocks: 2
, fnn_size: 256

Dumping recording-wise val results in: results_audio/333_cst-sim-aug-rare-ngcc-pretrained-mel-300_dev_split0_multiaccdoa_mic_gcc_20240517083742_val
epoch: 0, time: 818.76/1119.10, train_loss: 0.5753, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 1, time: 848.83/1119.10, train_loss: 0.2944, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 2, time: 743.73/1119.10, train_loss: 0.2258, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 3, time: 686.28/1119.10, train_loss: 0.2098, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 4, time: 687.40/1119.10, train_loss: 0.2024, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 5, time: 680.16/1119.10, train_loss: 0.1986, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 6, time: 695.23/1119.10, train_loss: 0.1900, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 7, time: 697.33/1119.10, train_loss: 0.1814, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 8, time: 708.19/1119.10, train_loss: 0.1764, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 9, time: 703.81/1119.10, train_loss: 0.1732, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
epoch: 10, time: 709.38/1119.10, train_loss: 0.1697, val_loss: 0.4212, F/AE/Dist_err/Rel_dist_err/SELD: 0.00/84.63/1.39/0.86/0.78, best_val_epoch: 0 (0.00/84.63/1.39/0.86/0.78)
